─ 	0x80 	0x2500 	0xE2, 0x94, 0x80 	Box Drawings Light Horizontal
ф 	0xC6 	0x0444 	0xD1, 0x84 	Cyrillic Small Letter Ef
г 	0xC7 	0x0433 	0xD0, 0xB3 	Cyrillic Small Letter Ghe
х 	0xC8 	0x0445 	0xD1, 0x85 	Cyrillic Small Letter Ha
и 	0xC9 	0x0438 	0xD0, 0xB8 	Cyrillic Small Letter I
й 	0xCA 	0x0439 	0xD0, 0xB9 	Cyrillic Small Letter Short I
к 	0xCB 	0x043A 	0xD0, 0xBA 	Cyrillic Small Letter Ka
л 	0xCC 	0x043B 	0xD0, 0xBB 	Cyrillic Small Letter El
м 	0xCD 	0x043C 	0xD0, 0xBC 	Cyrillic Small Letter Em
н 	0xCE 	0x043D 	0xD0, 0xBD 	Cyrillic Small Letter En
о 	0xCF 	0x043E 	0xD0, 0xBE 	Cyrillic Small Letter O
п 	0xD0 	0x043F 	0xD0, 0xBF 	Cyrillic Small Letter Pe
я 	0xD1 	0x044F 	0xD1, 0x8F 	Cyrillic Small Letter Ya
р 	0xD2 	0x0440 	0xD1, 0x80 	Cyrillic Small Letter Er
с 	0xD3 	0x0441 	0xD1, 0x81 	Cyrillic Small Letter Es
т 	0xD4 	0x0442 	0xD1, 0x82 	Cyrillic Small Letter Te
у 	0xD5 	0x0443 	0xD1, 0x83 	Cyrillic Small Letter U
ж 	0xD6 	0x0436 	0xD0, 0xB6 	Cyrillic Small Letter Zhe
в 	0xD7 	0x0432 	0xD0, 0xB2 	Cyrillic Small Letter Ve
ь 	0xD8 	0x044C 	0xD1, 0x8C 	Cyrillic Small Letter Soft Sign
ы 	0xD9 	0x044B 	0xD1, 0x8B 	Cyrillic Small Letter Yeru
з 	0xDA 	0x0437 	0xD0, 0xB7 	Cyrillic Small Letter Ze
ш 	0xDB 	0x0448 	0xD1, 0x88 	Cyrillic Small Letter Sha
э 	0xDC 	0x044D 	0xD1, 0x8D 	Cyrillic Small Letter E
щ 	0xDD 	0x0449 	0xD1, 0x89 	Cyrillic Small Letter Shcha
ч 	0xDE 	0x0447 	0xD1, 0x87 	Cyrillic Small Letter Che
ъ 	0xDF 	0x044A 	0xD1, 0x8A 	Cyrillic Small Letter Hard Sign
Ю 	0xE0 	0x042E 	0xD0, 0xAE 	Cyrillic Capital Letter Yu
А 	0xE1 	0x0410 	0xD0, 0x90 	Cyrillic Capital Letter A
Б 	0xE2 	0x0411 	0xD0, 0x91 	Cyrillic Capital Letter Be
Ц 	0xE3 	0x0426 	0xD0, 0xA6 	Cyrillic Capital Letter Tse
Д 	0xE4 	0x0414 	0xD0, 0x94 	Cyrillic Capital Letter De
Е 	0xE5 	0x0415 	0xD0, 0x95 	Cyrillic Capital Letter Ie
Ф 	0xE6 	0x0424 	0xD0, 0xA4 	Cyrillic Capital Letter Ef
Г 	0xE7 	0x0413 	0xD0, 0x93 	Cyrillic Capital Letter Ghe
